桌游名称,推荐人数,游戏时长(分钟),难度等级,分类,核心玩法简介,图片链接,视频链接
UNO,2-10人,5,1.1,"派对游戏,简单卡牌",经典卡牌游戏，通过卡牌操作，玩家需出与上家同色或同数字的牌，先出完牌者获胜，包含功能牌增加游戏趣味性，适合全年龄段快速上手。,UNO.jpg,UNO.mp4
嗒宝:漫威英雄,2-8人,5,1,"派对游戏,反应比拼",嗒宝漫威主题版，玩家需快速找出两张卡牌中的相同漫威英雄，反应最快者得分，适合漫威粉丝和家庭聚会。,嗒宝漫威英雄.jpg,嗒宝漫威英雄.mp4
疯狂飞行棋,2-4人,30,1.05,"派对游戏,互坑对抗",经典飞行棋的创新版本，加入了特殊事件卡和互动机制。玩家通过掷骰子控制棋子前进，使用道具卡干扰对手或加速自己，棋盘设计充满惊喜，适合全年龄段玩家轻松娱乐。,疯狂飞行棋.jpg,疯狂飞行棋.mp4
稍等我这就想句话向你求婚,3-6人,10,1.2,"派对游戏,欢乐搞笑",让你不断对别人求婚且不断被别人求婚的游戏，但这人生最幸福的瞬间，你得到的求婚台词却是因为受限单字而天马行空的内容，这同时考验着脑力和耻力的话题桌游,稍等我这就想句话向你求婚.jpg,稍等我这就想句话向你求婚.mp4
以鹅传鹅,4-10人,20,1,"派对游戏,欢乐搞笑",类似传声筒的游戏，玩家通过绘画或文字传递信息，最后与原信息对比，差异越大越有趣。,以鹅传鹅.jpg,以鹅传鹅.mp4
传情画意,3-8人,20,1.07,"派对游戏,绘画游戏",类似你画我猜的桌游版，玩家通过绘画、文字描述或动作传递信息，团队合作猜词，适合家庭聚会。,传情画意.jpg,传情画意.mp4
瞎掰王,3-8人,20,1.33,"派对游戏,嘴炮游戏",欢乐嘴炮游戏，玩家通过编造谎言和识别谎言获取分数，考验口才和判断力，适合多人聚会。,瞎掰王.jpg,瞎掰王.mp4
决战小便斗,2-6人,5,1,"派对游戏,欢乐搞笑",玩家要在蛮荒西部的厕所一边畅快解放，一边避开那些射不准的牛仔。好吧!一场新式射击比赛开始了。,决战小便斗.jpg,决战小便斗.mp4
UNO:FLIP,2-10人,5,1.24,"派对游戏,简单卡牌",UNO升级版，卡牌双面设计（浅色/深色），FLIP牌可翻转全场卡牌面，增加游戏变化性，规则简单但策略性略高于基础版。,UNOFLIP.jpg,UNOFLIP.mp4
爆炸猫,2-5人,15,1.08,"派对游戏,互坑对抗",幽默风格卡牌游戏，玩家轮流抽牌，抽到爆炸猫需用防御牌保命，通过各种功能牌陷害对手，最后存活者获胜。,爆炸猫.jpg,爆炸猫.mp4
画物语,3-8人,45,1.19,"派对游戏,猜词游戏",玩家将化身为说书人与猜谜者。作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语.jpg,画物语.mp4
巧手猜图,3-5人,60,1.03,"派对游戏,猜词游戏",猜图游戏，玩家通过道具表达作品，队友猜测，考验联想能力，适合家庭聚会。,巧手猜图.jpg,巧手猜图.mp4
作弊飞蛾,2-6人,5,1.16,"派对游戏,简单卡牌",幽默卡牌游戏，玩家可以尝试作弊获取优势，但被发现会受到惩罚，平衡作弊和诚实的有趣游戏。,作弊飞蛾.jpg,作弊飞蛾.mp4
UNO:NOMERCY,2-10人,5,1.5,"派对游戏,简单卡牌",UNO衍生版，加入更多惩罚机制和特殊行动牌，节奏更快更刺激，适合喜欢快节奏对抗的玩家群体。,UNONOMERCY.jpg,UNONOMERCY.mp4
爆炸猫:灾祸菜谱,2-5人,10,1.32,"派对游戏,互坑对抗",无论你是菜鸟还是大神级玩家都适配《灾祸菜谱》为初始玩家提供了首次接触爆炸猫所需的一切对于有经验的玩家，它包含了所有扩展里超棒的卡牌，以及全新的菜谱手册，解锁多个全新的游戏模式。,爆炸猫灾祸菜谱.jpg,爆炸猫灾祸菜谱.mp4
7连翻,2-10人,10,1.03,"派对游戏,赌狗游戏",一张一张地翻牌，不要翻两次相同的数字。在这个令人上瘾的纸牌游戏中，按下你的运气和策略。,翻转7.jpg,翻转7.mp4
爆炸猫:善恶对决,2-5人,10,1.25,"派对游戏,互坑对抗",幽默风格卡牌游戏，玩家轮流抽牌，抽到爆炸猫需用防御牌保命，通过各种功能牌陷害对手，最后存活者获胜，加入全新机制跟卡牌。,爆炸猫善恶对决.jpg,爆炸猫善恶对决.mp4
串好啦,2-6人,5,1.2,"派对游戏,反应比拼",快速反应比拼，玩家需根据卡牌提示快速串接物品，反应速度快且符合规则者得分，适合活跃气氛。,串好啦.jpg,串好啦.mp4
原色碰撞,2人，4人,10,1.2,"派对游戏,拼图游戏",色彩主题拼图游戏，玩家根据任务进行颜色拼图，为了自己获胜可以破坏别人的版图。,原色碰撞.jpg,原色碰撞.mp4
矮人掘金,3-10人,45,1.32,"派对游戏,身份推理",玩家分为矿工和破坏者两队，矿工需挖到金矿，破坏者则要阻止，通过卡牌行动互相博弈，身份隐藏增加游戏悬念。,矮人掘金.jpg,矮人掘金.mp4
恶魔轮盘,2-6人,5,1.1,"派对游戏,赌狗游戏",刺激的轮盘赌主题游戏，玩家下注猜测轮盘结果，通过运气和简单策略赢得筹码，最后筹码最多者获胜。,恶魔轮盘.jpg,恶魔轮盘.mp4
狗运当骰,2-4人,30,1.28,"策略游戏,赌狗游戏",欢乐骰子桌游，玩家扮演赌徒在赌场中比拼运气和策略，节奏轻快，充满随机性和趣味性，适合派对聚会。,狗运当骰.jpg,狗运当骰.mp4
哈铃果铃,3-8人,5,1,"派对游戏,反应比拼",当桌面上每次出现同款水果5颗时，玩家们更要拼速度拍打中间的铃以获得分数。游戏极其考验玩家们的专注力及反应力！,哈铃果铃.jpg,哈铃果铃.mp4
字字转机:图像版,2-6人,5,1,"派对游戏,反应比拼",反应类语言游戏，玩家要说出对方牌的图案，谁先正确的说出来，就可以得到对方的牌，目标就是谁赢得牌最多谁就获得游戏胜利。,字字转机图像版.jpg,字字转机图像版.mp4
出包魔法师,2-5人,30,1.64,"派对游戏,互坑对抗",幽默魔法主题游戏，玩家扮演魔法师互相施法，猜错会导致魔法失败。,出包魔法师.jpg,出包魔法师.mp4
独家暗语,4-8人,30,1.03,"派对游戏,猜词游戏",团队合作猜词游戏，队友通过暗语提示猜出目标词语，同时防止对手偷听，考验团队默契和语言表达能力。,独家暗语.jpg,独家暗语.mp4
妙笔生画,3-8人,15,1,"派对游戏,绘画游戏",创意绘画类桌游，玩家根据提示进行绘画并让他人猜测。通过想象力和绘画技巧传达信息，同时需要理解他人的画作，游戏充满创意和欢乐，适合派对聚会和家庭娱乐。,妙笔生画.jpg,妙笔生画.mp4
摸鱼还是卷,4-7人,30,1.4,"派对游戏,身份推理",职场主题幽默游戏，玩家在工作中选择摸鱼或内卷，隐藏好自己甚至择机转投对面阵营，值得好好考虑。,摸鱼还是卷.jpg,摸鱼还是卷.mp4
扬翻夺宝,2-4人,20,1.2,"派对游戏,赌狗游戏",盲抽加成套收集，一点点的策略博弈，玩起来跟欢乐。,扬翻夺宝.jpg,扬翻夺宝.jpg
德国蟑螂,2-6人,15,1.1,"派对游戏,嘴炮游戏",幽默蟑螂主题游戏，玩家通过卡牌行动让对手收集更多蟑螂，最后蟑螂最少者获胜，轻松搞笑的派对游戏。,德国蟑螂.jpg,德国蟑螂.mp4
行动代号图片版,4-8人,20,1.26,"派对游戏,猜词游戏",经典团队猜词游戏，分为红蓝两队，队长给出提示词，队员猜出己方目标词，先完成目标者获胜。,行动代号图片版.jpg,行动代号图片版.mp4
